id,category,faithfulness,factual_correctness,context_precision,context_recall,factual_correctness_reference_used,error
OR10,object_relations,1.0,0.86,0.999999999975,1.0,"You create an Ingress resource with a rule pointing to an existing Service via `service.name` and `service.port.number`. There is no Ingress controller running anywhere in the cluster. Will traffic be routed according to your rule? No. An Ingress resource alone has no effect - you must have a running Ingress controller to satisfy (implement) an Ingress. Creating the Ingress object just declares the desired routing rule; without a controller watching for and acting on Ingress resources, nothing actually configures a load balancer or proxy to route traffic to the referenced Service.",
P15,procedural,0.0,0.0,0.0,0.0,How do you configure a StorageClass so that volume binding waits until a Pod using the PVC is actually created? Set `volumeBindingMode: WaitForFirstConsumer` on the StorageClass.,
MD09,multi_document,0.5,0.2,0.9999999999,1.0,"Why must a Job's Pod template use `restartPolicy: Never` or `OnFailure` rather than the Pod-level default of `Always`? `Always` is meant for long-running workloads that should keep running forever, which conflicts with a Job's model of Pods that run to completion a fixed number of times; Kubernetes disallows `Always` for a Job's Pod template and only permits `Never` or `OnFailure`.",
F18,factual,1.0,1.0,0.49999999995,1.0,What reclaim policy do dynamically provisioned PersistentVolumes get if their StorageClass doesn't specify one? Delete.,
CMP02,comparison,0.75,0.88,0.5833333333041666,1.0,"How does a DaemonSet differ from a Deployment in terms of how many Pods it runs and where? A DaemonSet runs exactly one copy of a Pod on every (or every eligible) node, growing and shrinking automatically as nodes are added or removed. A Deployment runs a developer-specified number of replicas that the scheduler places wherever suitable, with no inherent tie to node count.",
OR11,object_relations,1.0,0.67,0.7499999999625,1.0,"You deploy a Pod without setting `spec.serviceAccountName`, and you never explicitly created a ServiceAccount in that namespace. Does the Pod end up with no ServiceAccount identity at all? No. If you don't manually assign a ServiceAccount to a Pod, Kubernetes automatically assigns the namespace's `default` ServiceAccount to it - every namespace has one, and if you delete it, the control plane automatically replaces it with a new one. So the Pod always ends up with some ServiceAccount identity and, by default, gets a token for it, unless `automountServiceAccountToken` is explicitly set to `false`.",
P16,procedural,0.3333333333333333,0.0,0.0,0.0,How do you check the rollout history of a Deployment from the command line? Run `kubectl rollout history deployment/<name>`.,
MD10,multi_document,1.0,0.8,0.99999999995,1.0,"If you scale a StatefulSet down from 3 replicas to 1 and then back up to 3, do the recreated Pods get their original PersistentVolumeClaims back? Yes. Scaling a StatefulSet down does not delete the PersistentVolumeClaims created from its `volumeClaimTemplates`, and each ordinal's identity (including its storage) is stable, so scaling back up reattaches the same PVC (and therefore the same underlying volume) to the Pod with that ordinal.",
F19,factual,0.0,0.0,0.0,0.0,What is the default `volumeBindingMode` for a StorageClass when the field is left unset? Immediate.,
CMP03,comparison,0.8571428571428571,0.4,0.99999999995,0.5,"What's the functional difference between a Job and a CronJob? A Job runs Pods to completion a single time (or a fixed number of times). A CronJob doesn't run Pods directly - it creates Jobs on a repeating schedule, so it's a wrapper that adds time-based scheduling on top of the Job abstraction.",
OR12,object_relations,0.0,0.33,0.9999999999,0.0,A Pod is protected by a PodDisruptionBudget via a matching selector. Does that PDB prevent a cluster administrator from directly running `kubectl delete pod` on it? No. PodDisruptionBudgets only constrain certain voluntary disruptions that go through the eviction API (such as node drains). Directly deleting a Pod (or its Deployment) bypasses the PodDisruptionBudget entirely - the PDB has no mechanism to block a direct delete request.,
P17,procedural,0.8333333333333334,0.0,0.9999999999,1.0,How do you pause an in-progress Deployment rollout? Run `kubectl rollout pause deployment/<name>`.,
MD11,multi_document,1.0,0.73,0.9999999999666667,1.0,"Does creating an Ingress resource remove the need for a Service, or do the two work together? They work together. An Ingress routes external HTTP(S) traffic based on host/path rules, but its resource backends point at a Service's name and port - the Ingress doesn't replace the Service, it sits in front of one.",
CMP04,comparison,0.5,0.0,0.49999999995,0.5,"What's the difference between the `NoSchedule` and `NoExecute` taint effects? `NoSchedule` only blocks new Pods from being placed on the node - Pods already running there are left alone. `NoExecute` actively evicts Pods already running on the node (unless they tolerate the taint), in addition to blocking new ones.",
F20,factual,0.3333333333333333,0.0,0.9999999999,1.0,What is the default Pod Management Policy for a StatefulSet? OrderedReady.,
OR13,object_relations,0.0,0.2,0.8333333332916666,1.0,"A DaemonSet is running its Pod on every Node in the cluster. One of those Nodes is removed from the cluster (e.g. decommissioned). Does the DaemonSet create a replacement Pod on a different Node to make up for it? No. A DaemonSet doesn't manage a floating replica count the way a Deployment does - it ties exactly one Pod to each matching Node. When a Node is removed, the Pod that was running on it is simply garbage collected, with no replacement created elsewhere. A new Pod only appears if/when a new Node joins the cluster that matches the DaemonSet's node selector/affinity rules.",
MD12,multi_document,0.5,0.0,0.9999999999666667,1.0,"Why does the HorizontalPodAutoscaler require a container to have a CPU resource request set before it can scale on CPU utilization? CPU utilization is measured as a percentage relative to the container's requested CPU, so without a resource request there's no baseline to compute a utilization percentage from - the documentation states that if a Pod's containers don't have the relevant resource request set, CPU utilization for that Pod is undefined and the autoscaler takes no action on that metric.",
P18,procedural,0.8571428571428571,0.0,0.0,0.0,"How do you configure a liveness probe that checks an HTTP endpoint, waiting 10 seconds before the first check and then checking every 5 seconds? Define `livenessProbe.httpGet` with `initialDelaySeconds: 10` and `periodSeconds: 5`.",
F21,factual,0.0,0.0,0.0,0.0,What does a Pod's `restartPolicy` default to if not specified? Always.,
OR14,object_relations,0.0,0.0,0.9999999999,0.0,"You delete a DaemonSet using `kubectl delete --cascade=orphan`. What happens to the Pods it was managing, and what happens if you later create a new DaemonSet with the same selector? The Pods are left running on their nodes rather than being deleted - `--cascade=orphan` skips the normal cleanup that deleting a DaemonSet would otherwise trigger. If you subsequently create a new DaemonSet with the same selector, it adopts those existing orphaned Pods as its own rather than creating fresh ones, and will only replace any of them going forward according to its `updateStrategy`.",
CMP05,comparison,1.0,0.0,0.0,0.0,"What's the difference between a liveness probe and a readiness probe? A liveness probe determines whether a container should be restarted (it's stuck/deadlocked). A readiness probe determines whether a container should currently receive traffic, without triggering any restart - a Pod can be alive but not ready.",
P19,procedural,0.75,0.4,0.99999999995,1.0,How do you write a NetworkPolicy that isolates `role=db` Pods for both incoming and outgoing traffic? Create a NetworkPolicy with a `podSelector` matching `role=db` and `policyTypes` listing both `Ingress` and `Egress`.,
F01,factual,0.0,0.0,0.0,0.0,What is the default value of `.spec.strategy.rollingUpdate.maxUnavailable` for a Deployment? 25%.,
MD13,multi_document,0.8333333333333334,0.36,0.99999999995,1.0,"Both DaemonSets and Static Pods can be used to run a Pod on every node - how does their management model fundamentally differ? A DaemonSet is a normal API-server-managed resource: the DaemonSet controller (part of the control plane) creates and tracks its Pods through the API server. A Static Pod is managed directly by the kubelet on one specific node, without the API server observing it - the kubelet itself supervises and restarts it.",
F22,factual,0.3333333333333333,0.0,0.0,1.0,What is the default `periodSeconds` for a container probe? 10 seconds.,
OR15,object_relations,1.0,1.0,0.9999999999,1.0,You delete a PriorityClass that several currently-running Pods reference by name. Does deleting it change the priority of those already-running Pods? No. Existing Pods that reference the deleted PriorityClass's name keep their priority unchanged - deleting a PriorityClass doesn't retroactively affect Pods that already used it. The only effect is forward-looking: you can no longer create new Pods that reference that PriorityClass name.,
CMP06,comparison,1.0,0.0,0.0,0.0,"What's the difference between a startup probe and a liveness probe? A startup probe only runs once, during container initialization, and blocks liveness/readiness checks until it succeeds. A liveness probe runs repeatedly for the container's whole life to detect if a running app has become stuck.",
P20,procedural,0.3333333333333333,0.0,0.0,0.0,How do you set a basic Pod-level security context that runs containers as a non-root user with UID 1000 and group 3000? Set `spec.securityContext.runAsUser: 1000` and `runAsGroup: 3000` (optionally `fsGroup`) in the Pod spec.,
MD14,multi_document,1.0,0.89,0.99999999995,1.0,"If a NetworkPolicy isolates `role=db` Pods for ingress traffic, but clients reach those Pods through a ClusterIP Service, is the policy enforced at the Service or at the Pod? At the Pod. A Service is just a stable virtual IP and routing abstraction for reaching a set of Pods - it isn't itself a security boundary. NetworkPolicy isolation rules are defined and enforced in terms of Pod selectors, regardless of whether traffic arrived via a Service.",
F23,factual,0.5,0.0,0.0,0.0,What is the default `failureThreshold` for a container probe? 3.,
CMP07,comparison,1.0,0.4,0.0,0.5,"What's the difference between a `ClusterIP` and a `NodePort` Service? `ClusterIP` (the default) is only reachable from inside the cluster on an internal IP. `NodePort` builds on `ClusterIP` but additionally exposes the Service on a static port on every Node's own IP, making it reachable from outside the cluster.",
OR16,object_relations,1.0,0.67,0.699999999965,1.0,"A Service selects 150 Pods via its selector. Does Kubernetes store all 150 backing endpoints in a single object, or split them across multiple objects? It splits them. By default the control plane keeps each EndpointSlice to at most 100 endpoints, so a Service backing 150 Pods would need at least 2 EndpointSlice objects (e.g. 100 + 50) rather than one - Kubernetes adds a new, initially-empty EndpointSlice once the existing ones are full, rather than letting a single EndpointSlice grow without bound.",
F02,factual,0.0,0.0,0.0,0.0,What is the default value of `.spec.strategy.rollingUpdate.maxSurge` for a Deployment? 25%.,
C01,conceptual,0.0,0.22,0.0,0.5,"Why does Kubernetes recommend against creating Pods directly, even for a single instance of an app? Pods are deliberately ephemeral and disposable - if a Pod dies it is not resurrected. Workload resources like Deployments add a controller that handles replication, rollout, and automatic healing on top of the Pod, which a bare Pod does not get on its own.",
MD15,multi_document,1.0,0.89,0.3333333333,1.0,"A headless Service (used for a StatefulSet) has `.spec.type: ClusterIP` set. Given that ClusterIP is also the default Service type, what actually makes a Service ""headless""? Setting `.spec.type: ClusterIP` is necessary but not sufficient - a Service becomes headless specifically when its `clusterIP` field is set to `None`. A headless Service gets no cluster IP allocated at all, so clients connect directly to individual Pod IPs instead of through a load-balanced virtual IP.",
F24,factual,0.6666666666666666,0.0,0.0,0.0,What is the default `initialDelaySeconds` for a container probe? 0 seconds.,
CMP08,comparison,1.0,0.6,0.9999999999666667,1.0,"What's the difference in intended use between a ConfigMap and a Secret? Both attach configuration data to Pods independently of container images, but a ConfigMap is meant for non-confidential configuration, while a Secret is specifically intended for confidential data and gets somewhat different handling precautions, even though by default neither is encrypted at rest.",
OR17,object_relations,0.3333333333333333,0.0,0.7499999999625,0.0,"A Pod defines an init container with `restartPolicy: Always` at the container level (making it a sidecar container), and that init container has a `readinessProbe`. Does the Pod wait for this container to run to completion before starting the main app containers, the way it would for a regular init container? No. Regular init containers must run to completion before app containers start and don't support probes at all, but a sidecar container (an init container with its own `restartPolicy: Always`) is treated differently - it continues running for the Pod's whole lifetime and does support probes like `readinessProbe`. It isn't held to the ""must finish before the next stage starts"" rule that governs regular init containers.",
F03,factual,1.0,1.0,0.8333333332916666,1.0,What is the default value of `.spec.revisionHistoryLimit` for a Deployment? 10.,
MH01,multi_hop,0.8,0.36,0.8333333332916666,1.0,"A StatefulSet named `web` with 3 replicas uses a headless Service also named `web`, in namespace `default`. What is the fully-qualified DNS hostname of the second Pod (by creation order), and what two separate naming rules did you have to chain together to get it? `web-1.web.default.svc.cluster.local`. First, StatefulSet ordinals start at 0, so the second Pod (by order) is ordinal 1, giving Pod name `web-1` under the pattern `$(statefulset name)-$(ordinal)`. Second, that Pod name is combined with the governing headless Service's DNS pattern `<pod-hostname>.<service-name>.<namespace>.svc.cluster.local`.",
C02,conceptual,1.0,0.33,0.49999999995,0.5,"What problem do Services solve in Kubernetes? Pods are ephemeral and get replaced with new IP addresses over time, so other Pods can't reliably hold a fixed IP for them. A Service gives a changing set of Pods a single, stable way to be found and reached on the network, without frontends needing to track individual Pod IPs.",
F25,factual,1.0,1.0,0.9999999999,1.0,What is the default graceful termination period granted to a Pod? 30 seconds.,
CMP09,comparison,0.6666666666666666,0.5,0.499999999975,1.0,"What's the difference between the `Retain` and `Delete` PersistentVolume reclaim policies? `Retain` keeps the PersistentVolume and its underlying storage after the claim is released, requiring manual reclamation by an administrator. `Delete` automatically removes both the PersistentVolume object and its associated backing storage when the claim is released.",
OR18,object_relations,0.25,0.25,0.6388888888675925,0.0,"You create a Service with `type: LoadBalancer` on a cloud provider that supports external load balancers. Does Kubernetes create the cloud load balancer directly from the Service object, or is there an intermediate step? There's an intermediate step. To implement a `type: LoadBalancer` Service, Kubernetes typically first makes the same changes it would for a `type: NodePort` Service (allocating a node port), and only then does the cloud-controller-manager component configure the actual external cloud load balancer to forward traffic to that node port - the Service doesn't talk to the cloud provider's load-balancing API directly itself.",
C03,conceptual,0.8333333333333334,0.6,0.99999999995,1.0,"Why does Kubernetes enforce a CPU limit via throttling rather than killing the container, unlike a memory limit? CPU is a compressible resource - a container can simply be given less CPU time without losing data, so the kernel throttles it. Memory is not compressible in the same way, so exceeding a memory limit is instead enforced with an out-of-memory (OOM) kill.",
F04,factual,0.0,0.0,0.0,0.0,What is the default value of `.spec.progressDeadlineSeconds` for a Deployment? 600 seconds (10 minutes).,
MH02,multi_hop,0.0,0.0,0.0,0.0,"You set a Deployment's `.spec.strategy.rollingUpdate.maxUnavailable` to 0 and leave `maxSurge` unset. What value must `maxSurge` effectively take, and what does that force about how the rolling update proceeds? `maxSurge` cannot be 0 whenever `maxUnavailable` is 0, so it falls back to its own default of 25% (it cannot also be 0). Because no existing Pods are allowed to become unavailable, the only way to make progress is to create new Pods above the desired count first and only remove old Pods once replacements are ready - a pure ""surge first"" rollout with zero downtime capacity dip.",
P01,procedural,0.0,0.67,0.0,1.0,"How do you configure a Deployment named `nginx-deployment` so the controller reports a stalled rollout after 10 minutes, using kubectl patch? Patch its `.spec.progressDeadlineSeconds` to 600, e.g. `kubectl patch deployment/nginx-deployment -p '{""spec"":{""progressDeadlineSeconds"":600}}'`.",
CMP10,comparison,0.8571428571428571,0.73,0.249999999975,1.0,"What's the difference between `Immediate` and `WaitForFirstConsumer` volume binding modes on a StorageClass? `Immediate` (the default) provisions and binds a volume as soon as the PersistentVolumeClaim is created. `WaitForFirstConsumer` delays provisioning and binding until a Pod that uses the claim is actually created, which lets the scheduler's placement decision inform where the volume is provisioned.",
MH06,multi_hop,0.5714285714285714,0.46,0.9999999999,1.0,"A Pod has one container with a CPU limit of 500m and a CPU request of 250m, and no memory limit set at all. What QoS class does it get, and which Pods get evicted before it under node resource pressure? It gets QoS class `Burstable` - it doesn't meet the `Guaranteed` criteria (limit must equal request for every resource, and every resource must have both set) since its CPU limit and request differ and memory isn't set at all, but it does have at least one CPU/memory request set, which rules out `BestEffort`. Under resource pressure, Kubernetes evicts `BestEffort` Pods first, then `Burstable` Pods, and evicts `Guaranteed` Pods last - so this Pod would be evicted after any `BestEffort` Pods on the node but before any `Guaranteed` Pods.",
F05,factual,1.0,0.0,0.0,0.0,What is the default value of `.spec.minReadySeconds` for a Deployment? 0 - a newly created Pod is considered available as soon as it is ready.,
MH03,multi_hop,,,,,,The output is incomplete due to a max_tokens length limit.
C04,conceptual,0.0,0.0,0.0,0.0,"Why might someone deliberately choose the `Recreate` Deployment strategy over the default `RollingUpdate`? `Recreate` kills all existing Pods before creating replacements, so there is guaranteed to be no period where old and new versions run simultaneously - useful when your application can't tolerate two versions running at once (e.g. due to an incompatible schema change), at the cost of downtime during the switch.",
P02,procedural,0.0,0.0,0.0,0.0,"How do you remove a taint you previously added to a node with `kubectl taint`? Repeat the same taint expression with a trailing minus sign, e.g. `kubectl taint nodes node1 key1=value1:NoSchedule-`.",
CMP11,comparison,0.875,0.86,0.9999999999,1.0,"What's the difference between `OrderedReady` and `Parallel` StatefulSet Pod management policies? `OrderedReady` (the default) launches, scales, and terminates Pods one at a time, strictly in ordinal order, waiting for each to be Running and Ready before touching the next. `Parallel` launches or terminates all Pods at once without waiting on other Pods.",
MH07,multi_hop,0.2857142857142857,0.55,0.49999999995,0.0,"A container's readiness probe starts failing, and you haven't customized `periodSeconds` or `failureThreshold`. Roughly how long will it take before a Service stops sending traffic to this Pod? Around 30 seconds in the worst case. With the default `periodSeconds` of 10s and default `failureThreshold` of 3, the probe needs to fail 3 times in a row before Kubernetes marks the readiness check as failed - roughly 3 x 10s = 30 seconds after the container becomes unhealthy (less if it was already partway through a period when it started failing). Once the readiness probe is considered failed, the EndpointSlice controller removes the Pod's IP address from the EndpointSlices of every Service that matches the Pod, so only then does traffic stop being routed to it.",
F06,factual,0.5,0.0,0.0,0.0,"What is the default value of `.spec.backoffLimit` for a Job? 6 (unless a per-index backoff limit is set, in which case it defaults to 2147483647).",
C05,conceptual,0.3333333333333333,0.33,0.4166666666458333,1.0,"Why do StatefulSets require you to create a headless Service yourself? A StatefulSet needs a stable, per-Pod network identity for each replica, and a headless Service is what provides the DNS records for that identity instead of load-balancing across the Pods anonymously - Kubernetes doesn't create this Service automatically, so you're responsible for it.",
MH04,multi_hop,0.75,0.0,0.0,0.0,"A container defines a `startupProbe` with `failureThreshold: 30` and `periodSeconds: 10`, and no liveness probe. Roughly how much time does the application get to start before Kubernetes gives up and restarts the container? Up to about 300 seconds (5 minutes) - failureThreshold multiplied by periodSeconds (30 x 10s) gives the length of the window the startup probe allows before it's considered failed, at which point the kubelet kills the container and it is handled according to the Pod's restart policy.",
P03,procedural,0.5,0.0,0.0,0.0,How do you add a taint to node `node1` so that only Pods with a matching toleration can be scheduled there? `kubectl taint nodes node1 key1=value1:NoSchedule`.,
CMP12,comparison,1.0,0.0,0.5833333333041666,0.5,"What's the difference between a container's resource `requests` and its resource `limits`? `requests` is what the scheduler uses to decide which node has enough room to place the Pod. `limits` is a ceiling the kubelet enforces at runtime so the container can't use more than that amount - requests affect placement, limits affect runtime enforcement.",
MH08,multi_hop,0.2,0.0,0.9999999999,0.5,"A running Pod tolerates a `NoExecute` taint and its toleration specifies `tolerationSeconds: 3600`. If that taint is newly added to the Pod's node, is the Pod evicted right away? No. Pods that don't tolerate a `NoExecute` taint are evicted immediately, but this Pod does tolerate it, so it isn't. Because its toleration explicitly specifies `tolerationSeconds` (rather than omitting the field, which would mean it stays bound forever), the Pod remains bound to the node for exactly that many seconds - 3600 seconds (1 hour) - after the taint is added, and only then does the node lifecycle controller evict it.",
F07,factual,0.0,0.0,0.0,0.0,"If both `.spec.completions` and `.spec.parallelism` are left unset on a Job, what do they default to? Both default to 1, making it a non-parallel Job.",
C06,conceptual,1.0,0.0,0.49999999995,1.0,"Why does Kubernetes leave a StatefulSet's PersistentVolumes intact by default when the StatefulSet is deleted or scaled down? This is a deliberate data-safety choice: automatically purging storage along with the StatefulSet risks losing data that's more valuable than the convenience of automatic cleanup, so volumes are retained unless you delete them explicitly.",
MH05,multi_hop,0.0,0.2,0.0,1.0,"A Job leaves both `.spec.completions` and `.spec.parallelism` unset, and its single container fails every time it runs. Using the default `backoffLimit`, how many Pod-level failures will Kubernetes tolerate before marking the Job failed, and how many Pods run at once while it keeps retrying? 6 failures are tolerated (the default `.spec.backoffLimit`) before the Job is marked failed. Because both `completions` and `parallelism` default to 1 when unset, this is a non-parallel Job, so only 1 Pod runs at a time throughout the retries.",
P04,procedural,0.8,0.0,0.9999999999,1.0,How do you mark an existing ConfigMap definition as immutable? Add `immutable: true` to the ConfigMap manifest.,
CMP13,comparison,0.8333333333333334,0.8,0.49999999995,1.0,"What's the difference between an init container and a sidecar container? Init containers run to completion, sequentially, before any app container starts, and then they're done. Sidecar containers (init containers with `restartPolicy: Always`) start before the main app container too, but keep running alongside it for the Pod's entire lifetime instead of exiting.",
MH09,multi_hop,0.5714285714285714,0.25,0.5833333333041666,1.0,"A container has a `preStop` hook that reliably takes 45 seconds to finish, and the Pod uses the default `terminationGracePeriodSeconds`. Does the hook always get to complete before the container is force-killed? No. The default `terminationGracePeriodSeconds` is 30 seconds, and the preStop hook runs within that grace period. If the hook is still running once the grace period expires, the kubelet grants only a small, one-off 2-second extension - bringing the effective limit to about 32 seconds, still short of the 45 seconds the hook needs. The container will be forcibly killed before the hook finishes unless `terminationGracePeriodSeconds` is explicitly increased to comfortably exceed 45 seconds.",
F08,factual,0.3333333333333333,0.67,0.0,0.0,What is the default `.spec.completionMode` for a Job? NonIndexed.,
OR01,object_relations,0.5714285714285714,0.44,0.99999999995,1.0,"If you delete a Deployment using the default `kubectl delete` behavior, what happens to its ReplicaSet and Pods, and what Kubernetes mechanism makes that happen? By default Kubernetes uses background cascading deletion: the Deployment (owner) object is deleted from the API immediately, and the garbage collection controller then cleans up the dependent ReplicaSet and its Pods afterward, in the background. This works because the ReplicaSet carries an owner reference back to the Deployment, and each Pod carries an owner reference back to the ReplicaSet - the garbage collector uses these owner references, not labels, to find and delete now-ownerless dependents once the owner is gone.",
C07,conceptual,0.0,0.0,0.16666666665,0.0,"Conceptually, why would you use a startup probe instead of just setting a long `initialDelaySeconds` on the liveness probe? A fixed `initialDelaySeconds` is a static guess that either wastes time waiting when the app starts fast, or fires too early when it starts slow. A startup probe actively checks whether the app has actually finished initializing and only then lets liveness/readiness probing begin, adapting to real startup time instead of a fixed guess.",
P05,procedural,0.3333333333333333,0.0,0.0,0.0,How do you view the decoded (non-base64) value of a key stored in a Secret using kubectl? Extract the base64 value with `kubectl get secret <name> -o jsonpath='{.data.*}'` and pipe it through `base64 -d` to decode it.,
CMP14,comparison,0.3333333333333333,0.0,0.0,0.5,"What's the difference between the `Recreate` and `RollingUpdate` Deployment strategies? `Recreate` terminates all existing Pods before creating any new ones, causing a gap with zero Pods running. `RollingUpdate` (the default) gradually scales down old Pods and scales up new ones together, so some capacity stays available throughout the update.",
MH10,multi_hop,1.0,0.91,0.9999999999666667,1.0,"A namespace has a ResourceQuota that covers CPU and memory. You deploy a Deployment whose Pod spec sets no CPU or memory requests or limits at all, and the namespace has no LimitRange. What happens when the Pods try to get created, and how would adding a LimitRange change the outcome? The Pods will likely fail admission. Once a ResourceQuota covers CPU or memory in a namespace, every new Pod must specify a request or limit for that resource, or the control plane may reject it - you'd see this as a failure surfaced via `kubectl describe` on the Deployment (e.g. its ReplicaSet failing to create Pods). Adding a LimitRange to the namespace fixes this: it can automatically inject a default request/limit onto Pods that don't specify one, satisfying the ResourceQuota's requirement so admission succeeds.",
F09,factual,1.0,0.0,0.0,0.0,What is the default `.spec.concurrencyPolicy` for a CronJob? Allow - concurrently running Jobs are permitted.,
C08,conceptual,0.8571428571428571,0.33,0.5833333333041666,0.5,"Why does the documentation say CPU limits involve a trade-off rather than being an unambiguous best practice? CPU limits prevent one workload from starving others (helpful in multi-tenant environments), but they can throttle a container even when the node has spare CPU capacity available, which can degrade latency-sensitive workloads. Whether to set them depends on the environment and workload.",
OR02,object_relations,0.25,0.29,0.9999999999666667,1.0,"A Service selects Pods using `app.kubernetes.io/name: MyApp` as its selector. If you relabel a running, currently-matched Pod so it no longer has that label value, does the Service keep routing traffic to it? No, once the Service's controller notices the change. Unlike a Deployment's ownership of its Pods (which uses owner references), a Service's relationship to its Pods is dynamic label matching: the controller for the Service continuously scans for Pods that match its selector and updates the Service's EndpointSlices accordingly. Once the Pod no longer matches the selector, it's dropped from the set of endpoints the Service routes to - there's no persistent binding keeping it attached.",
CMP15,comparison,0.0,0.0,0.0,0.0,"What's the difference between Ingress `Prefix` and `Exact` path types? `Exact` matches the URL path exactly, case-sensitively, with no partial matches allowed. `Prefix` matches based on a `/`-split URL path prefix, so it also matches sub-paths underneath the given prefix.",
P06,procedural,0.6,0.0,0.5833333333041666,0.0,"How do you configure a Deployment to kill all existing Pods before creating replacements, instead of a rolling update? Set `.spec.strategy.type` to `Recreate`.",
F10,factual,1.0,0.67,0.9999999999,0.0,Which `restartPolicy` values are allowed in a Job's Pod template? Only `Never` or `OnFailure`; `Always` is not allowed for a Job's Pod template.,
MH11,multi_hop,0.0,0.2,0.0,0.0,"A Node is configured with a soft eviction threshold for `memory.available` (grace period 2 minutes) and `eviction-max-pod-grace-period` set to 30. A Pod on that node has `terminationGracePeriodSeconds: 120`. If the soft threshold is met and held for the full 2 minutes, how long does the kubelet actually give the Pod to shut down gracefully before killing it? 30 seconds, not 120. When both a maximum allowed pod grace period and a Pod's own `terminationGracePeriodSeconds` apply, the kubelet uses the lesser of the two for the eviction. Here that's `eviction-max-pod-grace-period` (30s) rather than the Pod's requested 120s, so the Pod gets far less graceful-shutdown time than its own spec asked for.",
